tcp.srcport,tcp.dstport,tcp.seq,tcp.ack,tcp.flags,tcp.len,tcp.window_size
443,54323,1,1,0x0010,1460,16
443,54323,1461,1,0x0010,1460,16
443,54323,2921,1,0x0018,690,16
54323,443,1,3611,0x0010,0,257
54325,443,1,1,0x0011,0,256
54325,443,2,1,0x0014,0,0
54328,443,1,1,0x0011,0,254
54347,443,0,0,0x0002,0,64240
54276,443,1,1,0x0018,70,255
54276,443,71,1,0x0018,46,255
54276,443,117,1,0x0018,3346,255
443,54323,3611,1,0x0010,1460,16
54323,443,1,5071,0x0010,0,257
443,54323,5071,1,0x0010,1460,16
443,54323,6531,1,0x0018,690,16
54323,443,1,7221,0x0010,0,257
443,54323,7221,1,0x0010,1460,16
443,54323,8681,1,0x0010,1460,16
54323,443,1,10141,0x0010,0,257
443,54323,10141,1,0x0018,679,16
54300,443,1,1,0x0018,37,256
54348,443,0,0,0x0002,0,64240
54323,443,1,10820,0x0010,0,254
443,54323,10820,1,0x0010,1460,16
443,54323,12280,1,0x0010,1460,16
443,54323,13740,1,0x0018,722,16
54323,443,1,14462,0x0010,0,257
443,54323,14462,1,0x0010,1460,16
443,54323,15922,1,0x0010,1460,16
443,54323,17382,1,0x0018,722,16
54323,443,1,18104,0x0010,0,257
443,54323,18104,1,0x0010,1460,16
54323,443,1,19564,0x0010,0,257
443,54323,19564,1,0x0010,1460,16
443,54323,21024,1,0x0018,722,16
443,54325,1,2,0x0010,0,83
54323,443,1,21746,0x0010,0,257
443,54328,1,2,0x0010,0,83
443,54347,0,1,0x0012,0,42340
54347,443,1,1,0x0010,0,131328
54347,443,1,1,0x0018,1896,131328
443,54323,21746,1,0x0010,1460,16
443,54323,23206,1,0x0010,1460,16
54323,443,1,24666,0x0010,0,257
443,54323,24666,1,0x0018,722,16
443,54276,1,71,0x0010,0,291
443,54276,1,117,0x0010,0,291
443,54276,1,117,0x0018,46,291
443,54276,47,3037,0x0010,0,425
443,54276,47,3463,0x0018,63,425
54276,443,3463,110,0x0010,0,255
443,54348,0,1,0x0012,0,26883
54348,443,1,1,0x0010,0,131328
54348,443,1,1,0x0018,311,131328
443,54300,1,38,0x0018,33,191
443,54300,34,38,0x0018,31,191
443,54300,65,38,0x0011,0,191
54300,443,38,66,0x0010,0,255
54300,443,38,66,0x0014,0,0
54323,443,1,25388,0x0010,0,254
54349,443,0,0,0x0002,0,64240
54309,443,1,1,0x0018,200,254
54309,443,201,1,0x0018,39,254
54309,443,240,1,0x0018,1794,254
443,54323,25388,1,0x0010,1460,16
443,54323,26848,1,0x0010,1460,16
443,54323,28308,1,0x0018,722,16
54323,443,1,29030,0x0010,0,257
443,54347,1,1461,0x0010,0,42496
443,54347,1,1897,0x0010,0,42496
443,54347,1,1897,0x0010,1460,42496
443,54347,1461,1897,0x0018,1460,42496
443,54347,2921,1897,0x0018,302,42496
54347,443,1897,3223,0x0010,0,131328
54347,443,1897,3223,0x0018,318,131328
443,54323,29030,1,0x0010,1460,16
443,54323,30490,1,0x0010,1460,16
443,54323,31950,1,0x0018,722,16
54323,443,1,32672,0x0010,0,257
443,54323,32672,1,0x0010,1460,16
443,54323,34132,1,0x0010,1460,16
443,54323,35592,1,0x0018,722,16
54323,443,1,36314,0x0010,0,257
443,54348,1,312,0x0010,0,28160
443,54348,1,312,0x0018,147,28160
54348,443,312,148,0x0018,1853,131072
443,54323,36314,1,0x0010,1460,16
443,54323,37774,1,0x0010,1460,16
443,54323,39234,1,0x0018,722,16
54323,443,1,39956,0x0010,0,257
443,54349,0,1,0x0012,0,42340
54349,443,1,1,0x0010,0,131328
54349,443,1,1,0x0018,1928,131328
443,54309,1,201,0x0010,0,63
443,54309,1,201,0x0018,35,63
443,54309,36,240,0x0018,39,63
443,54309,75,2034,0x0010,0,63
54309,443,2034,75,0x0010,0,254
443,54309,75,2034,0x0018,1082,63
54309,443,2034,1157,0x0018,35,258
443,54323,39956,1,0x0010,1460,16
443,54323,41416,1,0x0010,1460,16
443,54323,42876,1,0x0018,722,16
54323,443,1,43598,0x0010,0,257
443,54347,3223,2215,0x0018,242,42496
54347,443,2215,3465,0x0018,374,131072
443,54323,43598,1,0x0010,1460,16
54323,443,1,45058,0x0010,0,257
443,54323,45058,1,0x0010,1460,16
443,54323,46518,1,0x0018,722,16
54323,443,1,47240,0x0010,0,257
443,54323,47240,1,0x0010,1460,16
443,54323,48700,1,0x0010,1460,16
54323,443,1,50160,0x0010,0,257
443,54323,50160,1,0x0018,722,16
443,54348,148,1772,0x0010,0,46080
443,54348,148,2165,0x0010,0,48896
54323,443,1,50882,0x0010,0,254
443,54323,50882,1,0x0010,1460,16
443,54323,52342,1,0x0010,1460,16
54323,443,1,53802,0x0010,0,257
443,54323,53802,1,0x0018,754,16
443,54348,148,2165,0x0018,1110,48896
443,54349,1,1461,0x0010,0,42496
443,54349,1,1929,0x0010,0,42496
443,54349,1,1929,0x0018,137,42496
54349,443,1929,138,0x0018,51,131072
54349,443,1980,138,0x0018,374,131072
443,54323,54556,1,0x0010,1460,16
443,54323,56016,1,0x0010,1460,16
443,54323,57476,1,0x0018,754,16
54323,443,1,58230,0x0010,0,257
54348,443,2165,1258,0x0018,890,130048
443,54309,1157,2069,0x0010,0,63
443,54323,58230,1,0x0010,1460,16
443,54323,59690,1,0x0010,1460,16
443,54323,61150,1,0x0018,754,16
54323,443,1,61904,0x0010,0,257
443,54347,3465,2589,0x0018,756,42496
54349,443,2354,138,0x0011,0,131072
443,54323,61904,1,0x0010,1460,16
443,54323,63364,1,0x0010,1460,16
